textid,words,sylls,ltrvec,perf,isrhymed
27,across loss scorn born required tired sight light descry emily,oss oss orn orn uired ired ight ight y y,A A B B C D E E F F,1 1 1 1 0 0 1 1 1 1,1
28,smart heart stood aloud,art eart ood oud,A A B C,1 1 1 1,2
29,haste embraced wan began he captivity undergo so lie sky birth earth done shun again complain cry eye,aste aced an an e y o o ie y irth earth one un ain ain y ye,A A B B C C D D C C E E B B B B C C,1 1 1 1 1 0 1 1 0 0 1 1 0 1 0 0 0 0,1
30,away decay wound found,ay ay ound ound,A A B B,1 1 1 1,1
31,space grace face,ace ace ace,A A A,1 1 1,1
32,confess less shape scape lie die disgrace race spoke look,ess ess ape ape ie ie ace ace oke ook,A A B B C C D D E E,1 1 1 1 1 1 1 1 1 0,1
33,found wound sore more said dead chance glance move love replies eyes,ound ound ore ore aid ead ance ance ove ove ies eyes,A A B B C C D D E E F G,1 1 1 1 1 0 1 1 1 1 0 0,1
34,vein pain again,ein ain ain,A A A,1 1 1,1
35,weigh betray born sworn oath both,eigh ay orn orn oath oth,A A B B C C,1 1 1 1 1 1,1
36,prove love hands bands design thine plain maintain friend depend i die obtain pain born sworn right knight,ove ove ands ands ign ine ain ain iend end i ie ain ain orn orn ight ight,A A B B C C D D E E F G D D H H I I,1 1 0 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1,1
37,disdain again name claim nursed first inflamed named above love commend friend desire fire prove love relate fate,ain ain ame aim ursed irst amed amed ove ove end iend ire ire ove ove ate ate,A A B B C D E E F F G G H H F F I I,1 1 1 1 0 1 0 0 1 1 1 0 1 1 1 1 1 1,1
38,see decree laws cause placed waste fall all,ee ee aws ause aced aste all all,A A B B C C D D,1 1 0 0 0 0 1 1,1
39,transgress less possess,ess ess ess,A A A,1 1 1,1
40,more oer bone alone day away grant want advance chance try die,ore oer one one ay ay ant ant ance ance y ie,A B C C D D E E F F G G,1 0 1 1 1 1 1 1 1 1 1 1,1
41,renewd viewd hand stand passd last,ewd iewd and and assd ast,A B C C D E,1 0 1 1 0 1,2
42,attend friend began man,end iend an an,A A B B,1 0 1 1,1
43,well tell hell,ell ell ell,A A A,1 1 1,1
44,home come since prince guest request knight recite found ground pretence offence agreed freed,ome ome ince ince est est ight ite ound ound ence ence eed eed,A A B B C C D D E E F F G G,1 1 1 1 1 1 1 1 1 1 1 1 1 1,1
45,way pay fate late pent banishment more before live reprieve,ay ay ate ate ent ent ore ore ive ieve,A A B B C C D D E F,1 1 1 1 1 1 1 1 1 1,1
46,abides besides accursed first been seen deserve serve friend attend victory thee eyes paradise shine line,ides ides ursed irst een een erve erve iend end y ee eyes ise ine ine,A A B C D D E E F F G G H I J J,1 1 0 1 1 1 1 1 1 1 1 0 0 1 1 1,1
47,night sight knight,ight ight ight,A A A,1 1 1,1
48,frown crown kind find care despair fates creates grief relief dwell farewell,own own ind ind are air ates ates ief ief ell ell,A A B B C C D D E E F F,1 1 1 1 1 1 0 0 1 1 1 1,1
49,vain complain require desire obtain slain come home life wife,ain ain uire ire ain ain ome ome ife ife,A A B B A A D D E E,1 1 0 1 1 1 1 1 1 1,1
50,day pray roam home place pace find blind good understood free emily,ay ay oam ome ace ace ind ind ood ood ee y,A A B B C C D D E E A F,1 1 1 1 1 1 1 1 1 1 0 1,1
51,deplore more gone moan ground around feet sweat pine thine,ore ore one oan ound ound eet eat ine ine,A A B B C C D D E E,1 1 1 0 1 1 1 1 1 1,1
52,air despair joind mind race disgrace possess peace i die thine mine,air air oind ind ace ace ess eace i ie ine ine,A A B C D D D D E F G G,1 1 0 1 1 1 0 0 0 1 1 1,1
53,soul coal stead red veins constrains deities decrees pass brass care are,oul oal ead ed ins ins ies ees ass ass are are,A A B B C C D E F F G G,1 0 1 0 0 0 0 1 1 1 1 1,1
54,pain slain cure endure fail prevail befall all estate create will fulfil,ain ain ure ure ail ail all all ate eate ill il,A A B B C C D D E E F F,1 1 1 1 1 1 1 1 1 0 1 0,1
55,slain pain before more unaware traveller snake brake know woe place race move love,ain ain ore ore are er ake ake ow oe ace ace ove ove,A A B B C D E E F F G G H H,1 1 1 1 1 0 1 1 1 1 1 1 1 1,1
56,mourn return height night misery free mourns returns see liberty pains chains uncontrolld behold tell befell,ourn urn eight ight y ee urns urns ee y ins ins olld old ell ell,A A B C D D E E D D F F G H I I,1 1 1 1 1 0 0 0 0 1 0 0 0 1 1 1,1
57,again pain see emily despair hair appears tears sink drink wan man,ain ain ee y air air ars ars ink ink an an,A A B B C C D D E E A A,1 1 1 0 1 1 0 0 1 1 0 0,1
58,receives leaves moan alone shares hears,ives aves oan one ares ars,A B C C D D,0 0 1 1 1 0,1
59,drownd swound sound,ownd ound ound,A B B,0 1 1,1
60,attire desire presage rage,ire ire age age,A A B B,1 1 1 1,1
61,more before lay day appeard cheerd god rod command wand go woe,ore ore ay ay eard eerd od od and and o oe,A A B B C D E E F F G G,1 1 1 1 1 0 1 1 1 1 1 0,1
62,start heart breath death desire expire spoke look hue knew mind find eyes disguise give live,art eart eath eath ire ire oke ook ue ew ind ind eyes uise ive ive,A A B B C C D D E E F F G H I I,1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1,1
63,day array went bent disguise enterprise court resort gate wait,ay ay ent ent uise ise ourt ort ate ait,A A B B C C D D E E,1 1 1 1 1 1 1 1 1 1,1
64,gain chamberlain spy eye strong belong drew hew thus philostratus degree he known blown,ain ain y ye ong ong ew ew us us ee e own own,A A B B C C D D E E B B F F,1 1 1 1 1 1 1 1 1 1 0 0 1 1,1
65,place grace sphere appear praised raised enrolld gold sent rent fame came increase peace near dear,ace ace ere ear aised aised olld old ent ent ame ame ease eace ear ear,A A B B C C D E F F G G A A B B,1 1 1 1 0 0 0 1 1 1 1 1 0 0 1 1,1
66,turns mourns knight light bore more remove love,urns urns ight ight ore ore ove ove,A A B B C C D D,0 0 1 1 1 1 1 1,1
67,run sun destiny be night flight before store brought draught bound drownd palamon sun,un un y e ight ight ore ore ought aught ound ownd on un,A A B C D D E E F F G H A A,1 1 1 1 1 1 1 1 1 0 1 0 0 1,1
68,lay way day,ay ay ay,A A A,1 1 1,1
69,light night flight,ight ight ight,A A A,1 1 1,1
70,design join life wife,ign oin ife ife,A A B B,1 0 1 1,1
71,beguile style care snare day gray bright sight renews dews pay may rode trode plains reins there hair day may,uile yle are are ay ay ight ight ews ews ay ay ode ode ins ins ere air ay ay,A B C C D D E E F F D D G G H H C C D D,0 0 1 1 1 1 1 1 0 0 1 1 1 1 0 0 1 1 1 1,1
72,wear year hours flowers sun on blight bite find bind,ear ear urs ers un on ight ite ind ind,A A B C D D E E F F,1 1 0 0 1 0 1 1 1 1,1
73,strayd conveyd laid,ayd eyd aid,A B C,0 0 1,0
74,knight flight sight,ight ight ight,A A A,1 1 1,1
75,foe know years ears guard unprepared alone palamon grove love stood mood,oe ow ars ars uard ared one on ove ove ood ood,A A B B C D E E F F G G,1 1 0 0 0 0 1 0 1 1 1 1,1
76,hell well cheer clear hue drew fate hate,ell ell eer ear ue ew ate ate,A A B B C C D D,1 1 1 1 1 1 1 1,1
77,appear calendar year,ear ar ear,A B A,1 1 1,1
78,race was,ace as,A B,1 1,0
79,come doom decree me foe overthrow,ome oom ee e oe ow,A B C C D D,1 1 1 0 1 1,1
80,shame name am,ame ame am,A A A,1 1 0,1
81,enemy me one palamon free me endure cure dart heart pursue you record adored complain pain,y e one on ee e ure ure art eart ue ou ord ored ain ain,A A C C A A D D E E F G H H I I,1 1 1 0 0 0 1 1 1 1 1 0 1 0 1 1,1
82,assaild faild spoke look smart heart place face blood good emily die wile beguile me free die emily chance lance go foe,aild aild oke ook art eart ace ace ood ood y ie ile uile e ee ie y ance ance o oe,A A B B C C D D E E F F G G F F F F I I J J,1 0 1 0 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 0,1
83,man began above love grove love,an an ove ove ove ove,A A B B B B,1 1 1 1 1 1,1
84,defy tie perjury,y ie y,A A A,1 1 1,1
85,despite knight grove love alone unknown thee me abide provide be me prayd made dawn pawn,ite ight ove ove one own ee e ide ide e e ayd ade awn awn,A A B B C C D D E E D D F G C C,1 1 1 1 1 1 1 0 1 1 0 0 0 1 0 0,1
86,maintain reign disdain,ain eign ain,A A A,1 1 1,1
87,palamon alone tied supplied sought brought pure endure place face knew hue spear bear sees trees enemy i,on one ied ied ought ought ure ure ace ace ew ue ear ear ees ees y i,A A B B C C D D E E F F G G H H I J,1 0 0 0 1 1 1 1 1 1 1 0 1 1 1 1 1 0,1
88,dart part heart,art art eart,A A A,1 1 1,1
89,burn return care war advance lance bore explore stood blood got spot fared appeard draws jaws wound around abide decide,urn urn are ar ance ance ore ore ood ood ot ot ared eard aws aws ound ound ide ide,A A B B C C D D E E F F G H I I J J K K,1 1 1 0 1 1 1 1 1 1 1 1 0 1 0 0 1 1 1 1,1
90,decrees foresees sway way power hour appears years love above ill will joy destroy,ees ees ay ay er our ars ars ove ove ill ill oy oy,A A B B C C E E F F G G H H,1 1 1 1 0 1 0 0 1 1 1 1 1 1,1
91,may day way,ay ay ay,A A A,1 1 1,1
92,queen green cry nigh now bow wood stood place chase prey lay wood flood sun palamon blow fro strook oak might knight steed speed race place life strife threat met,een een y igh ow ow ood ood ace ase ey ay ood ood un on ow o ook oak ight ight eed eed ace ace ife ife eat et,A A B B C C D D E E F F D D G G C C H I J J K K E E L L M M,1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0,1
93,laws cause by try breath death around found charge large,aws ause y y eath eath ound ound arge arge,A A B B C C D D E E,0 0 1 1 1 1 1 1 1 1,1
94,decree me cruelty,ee e y,A A A,1 0 0,1
95,woe foe heard reward foe bestow,oe oe eard ard oe ow,A A B C A A,1 1 1 1 1 1,1
96,found ground returnd scornd name came,ound ound urnd ornd ame ame,A A B C D D,1 1 0 0 1 1,1
97,thee degree emily,ee ee y,A A A,1 1 0,1
98,own palamon disgrace race chain remain given heaven know foe pursue due emily die,own on ace ace ain ain en en ow oe ue ue y ie,A A C C D D D D E E F F G G,1 1 1 1 1 1 0 0 1 1 1 1 1 1,1
99,less bless possess,ess ess ess,A A A,1 1 1,1
100,prince offence record word decreed deed die standersby good womanhood began ran maid said sight fight mind kind came fame applause cause kind mind place grace,ince ence ord ord eed eed ie y ood ood an an aid aid ight ight ind ind ame ame ause ause ind ind ace ace,A B C C D D E E F F G G H H I I J J K K L L J J M M,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,1
101,mood blood felt melt minds finds sense offence cause laws freed deed eyes cries head said draw law,ood ood elt elt inds inds ense ence ause aws eed eed eyes ies ead aid aw aw,A A B B C C D D E E F F G H F I J J,1 1 1 1 0 0 0 0 1 1 1 1 0 0 0 1 1 1,1
102,bowd proud head fled love above nod god blind mind palamon gone soil toil ordain again know foe love above,owd oud ead ed ove ove od od ind ind on one oil oil ain ain ow oe ove ove,A B C C D D E E F F G G H H I I J J D D,1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1,1
103,gains pains day pay on done regard reward strove love far war past last know ago,ins ins ay ay on one ard ard ove ove ar ar ast ast ow o,A A B B C C D D E E F F G G H H,0 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1,1
104,train pain constrain,ain ain ain,A A A,1 1 1,1
105,those interpose accord lord might right,ose ose ord ord ight ight,A A B B C C,1 1 1 1 1 1,1
106,obtaind explaind race grace deserve serve crown known dead bed degree destiny prove love air repair sun run,aind aind ace ace erve erve own own ead ed ee y ove ove air air un un,A A B B C C D D E E F F G G H H I I,0 0 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1,1
107,bring king chance advance fight opposite plain gain release peace ground renownd,ing ing ance ance ight ite ain ain ease eace ound ownd,A A B B C C D D E E F G,1 1 1 1 1 1 1 1 1 1 1 0,1
108,knight fight aright,ight ight ight,A A A,1 1 1,1
109,accord sword,ord ord,A A,1 1,1
110,joy sky well fell leave receive look took way day,oy y ell ell eave eive ook ook ay ay,A B C C D D E E F F,1 1 1 1 1 1 1 1 1 1,1
111,part art magnificence expense ground around without about appeard reard degree see,art art ence ense ound ound out out eard eard ee ee,A A B B C C D D E E F F,1 1 1 1 1 1 1 1 1 1 1 1,1
112,white opposite was space land command fame came year theatre above love hand wand opposed enclosed,ite ite as ace and and ame ame ear eatre ove ove and and osed osed,A A B C D D E E F G H H D D I I,1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 0,1
113,white night delight,ite ight ight,A A A,1 1 1,1
114,see imagery expressd addressd seen men call wall hell fell,ee y essd essd een en all all ell ell,A A B B C D E E F F,1 0 0 0 1 1 1 1 1 1,1
115,ties lies perjuries,ies ies ies,A A A,0 0 0,1
116,luxury joy powers hours care despair surmise eyes dressd fist advance dance,y oy ers urs are air ise eyes essd ist ance ance,A B C D E E F G H I J J,1 1 0 0 1 1 1 0 0 1 1 1,2
117,play day more before doom come citheron drawn dress idleness,ay ay ore ore oom ome on awn ess ess,A A B B C C D E F F,1 1 1 1 1 0 1 1 1 1,1
118,alone solomon undone,one on one,A A A,1 0 1,1
119,feasts beasts wit submit,asts asts it it,A A B B,0 0 1 1,1
120,laid betrayd wrought thought rise skies breast rest seen green above love,aid ayd ought ought ise ies east est een een ove ove,A B C C D D E E F F G G,1 0 1 1 1 1 1 0 1 1 1 1,1
121,oer bore store,oer ore ore,A B B,0 1 1,1
122,red spread grace thrace abode god bare repair fly sky ground found old behold went bent,ed ead ace ace ode od are air y y ound ound old old ent ent,A A B B C C D D E E F F G G H H,1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1,1
123,congeal hail stood wood bent armipotent glare air led head roar door shone none frame came,eal ail ood ood ent ent are air ed ead oar oor one one ame ame,A A B B C C D D E E F F G G H H,1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1,1
124,along strong there clear,ong ong ere ear,A A B B,1 1 1 1,1
125,wrought thought brought,ought ought ought,A A A,1 1 1,1
126,fear leer down gown fiend traitorfriend bare war drawn lawn,ear eer own own iend iend are ar awn awn,A A B B C C A A E E,1 1 1 1 1 1 0 1 1 1,1
127,disgrace base place,ace ase ace,A A A,1 1 1,1
128,there hair lay away sate debate mood blood laid displayd resigned behind shores boars overlaid made steel wheel,ere air ay ay ate ate ood ood aid ayd igned ind ores ars aid ade eel eel,A A B B C C D D E F G H I J E E K K,1 0 1 1 1 1 1 1 1 0 0 1 0 0 1 1 1 1,1
129,falls walls pertains gains smith scythe placed graced head thread capitol fall move love adorn born force course stood god,alls alls ins ins ith ythe aced aced ead ead ol all ove ove orn orn orce ourse ood od,A A B B C D E E F F G G H H I I J J K K,0 0 0 0 1 0 0 0 1 1 1 0 1 1 1 1 1 1 1 0,1
130,displayd maid retrograde,ayd aid ade,A B B,0 1 1,1
131,haste chaste drawn lawn around resound shame became grace place spied died pursue slew see tree expressd beast,aste aste awn awn ound ound ame ame ace ace ied ied ue ew ee ee essd east,A A B B C C D D E E F F G G H H I J,1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 0 1,1
132,prize eyes shown son plain slain designd kind,ize eyes own on ain ain ignd ind,A B C C E E F G,1 0 1 1 1 1 0 1,2
133,green seen queen,een een een,A A A,1 1 1,1
134,before bore wore,ore ore ore,A A A,1 1 1,1
135,wane again survey sway throes disclose command hand feign pain god bestowd regard reward,ane ain ey ay oes ose and and eign ain od owd ard ard,A A B B C C D D A A E F G G,1 1 1 1 0 0 1 1 1 1 1 0 1 1,1
136,enclosed disposed bring sing,osed osed ing ing,A A B B,0 0 1 1,1
137,decide bride sought brought choice voice known alone degree chivalry behold enrolld,ide ide ought ought oice oice own one ee y old olld,A A B B C C D D E E F G,1 1 1 1 1 1 1 0 1 0 1 0,1
138,knight might fight,ight ight ight,A A A,1 1 1,1
139,ground renownd fame name,ound ownd ame ame,A B C C,1 0 1 1,2
140,best rest came name were spear scale mail jupon caparison use pruce saddlebow foe well steel glove love,est est ame ame ere ear ale ail on on use uce ow oe ell eel ove ove,A A B B C C D D E E F F G G D H I I,1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1,1
141,place thrace face,ace ace ace,A A A,1 1 1,1
142,head red stare hair strong long old gold shield field back black coronet set,ead ed are air ong ong old old ield ield ack ack et et,A A B B C C D D E E F F G G,1 0 1 1 1 1 1 1 1 1 1 1 1 1,1
143,fair chair bear,air air ear,A A A,1 1 1,1
144,bound surround way array,ound ound ay ay,A A B B,1 1 1 1,1
145,came name behold gold grace thrace great set attire fire run sun blue hue seen skill surprise eyes sway day appeard beard around sound green between delight white,ame ame old old ace ace eat et ire ire un un ue ue een ill ise eyes ay ay eard eard ound ound een een ight ite,A A B B C C D D E E F F G G H I J K L L M M N N H H O O,1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1,1
146,war bare shield field,ar are ield ield,A A B B,1 0 1 1,1
147,see degree chivalry,ee ee y,A A A,1 1 0,1
148,way play rode god,ay ay ode od,A A B B,1 1 1 0,1
149,side pride morn adorn feasts guests embraced graced night knight,ide ide orn orn asts ests aced aced ight ight,A A B B C D E E F F,1 1 1 1 0 0 0 0 1 1,1
150,relate sate addressd feast surprise eyes way day,ate ate essd east ise eyes ay ay,A A B C D E F F,1 1 0 1 1 0 1 1,2
151,night light,ight ight,A A,1 1,1
152,spring wing sing,ing ing ing,A A A,1 1 1,1
153,day way pray,ay ay ay,A A A,1 1 1,1
154,shrine divine,ine ine,A A,1 1,1
155,love above race place forbear year,ove ove ace ace ear ear,A A B B C C,1 1 1 1 1 1,1
156,fly sky apply,y y y,A A A,1 1 1,1
157,blood wood groves loves,ood ood oves oves,A A B B,1 1 0 0,1
158,fair care repair,air are air,A A A,1 1 1,1
159,cytheron sun heart smart grief relief complain pain say pray might knight thee chastity field yield blest rest,on un eart art ief ief ain ain ay ay ight ight ee y ield ield est est,A A B B C C D D E E F F E G H H I I,1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1,1
160,prepare care lies prize move love clue you twine line sweep heap deny mortality arms charms,are are ies ize ove ove ue ou ine ine eep eap y y arms arms,A A B B C C D E F F G G H H I I,1 1 0 0 1 1 1 0 1 1 1 1 1 1 0 0,1
161,due threw fires expires sign shrine took smoke day delay,ue ew ires ires ign ine ook oke ay ay,A A B B C C D D E E,1 1 0 0 1 1 1 0 1 1,1
162,sky emily fane train require fire crown moon steam stream conceal reveal required retired rites delights rest best spread head maid laid,y y ane ain uire ire own oon eam eam eal eal uired ired ites ights est est ead ead aid aid,A A B B C C E F G G H H I J K L M M N N O O,1 1 1 1 0 1 1 1 1 1 1 1 0 0 0 0 1 1 1 1 1 1,1
163,old told breast request green seen year sphere hearts darts felt dealt life wife am game,old old east est een een ear ere arts arts elt ealt ife ife am ame,A A B B C C D D E E F F G G H H,1 1 1 0 1 1 1 1 0 0 1 0 1 1 1 0,1
164,state hate mate,ate ate ate,A A A,1 1 1,1
165,side pride seen queen cease peace remove love decreed succeed breast best not lot train retain obey prey,ide ide een een ease eace ove ove eed eed east est ot ot ain ain ey ey,A A B B C C D D E E F F G G H H I I,1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1,1
166,clear prayer bright light space blaze stood wood light night,ear yer ight ight ace aze ood ood ight ight,A B C C D E F F C C,1 0 1 1 1 1 1 1 1 1,1
167,flew dew hue,ew ew ue,A A A,1 1 0,1
168,eyes skies sign divine,eyes ies ign ine,A B C C,0 0 1 1,2
169,light bright,ight ight,A A,1 1,1
170,shone known wood stood fear hear side bride above love breast best again remain place case stood wood,one own ood ood ear ear ide ide ove ove east est ain ain ace ase ood ood,A A B B C C D D E E F F G G H H B B,1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1,1
171,prayd aid maid,ayd aid aid,A B B,0 1 1,1
172,betwixt mixd,ixt ixd,A B,1 0,0
173,hour power bent armipotent lay pray,our er ent ent ay ay,A A B B C C,1 0 1 1 1 1,1
174,sways seas coast most known own flung strong ensue crew prayer care,ays eas oast ost own own ung ong ue ew yer are,A B C C D D E E F F G H,0 0 1 1 1 1 1 0 1 1 0 1,1
175,shield yield field,ield ield ield,A A A,1 1 1,1
176,sustaind gaind unknown own above love charms arms calld enthralld disgrace place fight right trade persuade fair snare pain disdain arms charms thee victory,aind aind own own ove ove arms arms alld alld ace ace ight ight ade uade air are ain ain arms arms ee y,A A B B C C D D E E F F G G H H I I J J D D K K,0 0 1 1 1 1 0 0 0 0 1 1 1 1 1 0 1 1 1 1 0 0 1 0,1
177,heart smart mine thine strife life among hung below foe feeds succeeds food blood thine shine hair bear free thee blest rest,eart art ine ine ife ife ong ung ow oe eds eds ood ood ine ine air ear ee ee est est,A A B B C C D D E E F F G G B B H H I I J J,1 1 1 1 1 1 1 0 1 1 0 0 1 1 1 1 1 1 1 1 1 1,1
178,close arose hung rung blast aghast bright light rise sacrifice aspire fire charms arms cry victory god abode,ose ose ung ung ast ast ight ight ise ice ire ire arms arms y y od ode,A A B B C C D D E E F F G G H H I I,1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 0,1
179,above love plead recede wife strife arose compose bent intent taught sought won outrun trined joind,ove ove ead ede ife ife ose ose ent ent aught ought on un ined oind,A A B B C C D D E E F F G G H I,1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0,1
180,abode god strife wife fight knight place pace plains remains sign mine,ode od ife ife ight ight ace ace ins ins ign ine,A A B B C C D D E E F F,1 0 1 1 1 1 1 1 0 0 1 1,1
181,care air despair,are air air,A A A,1 1 1,1
182,appoints joints prince pretence,ints ints ince ence,A A B C,0 0 1 1,2
183,sign mine command land ground found hall fall pestilence prince art part are war right night care war,ign ine and and ound ound all all ence ince art art are ar ight ight are ar,A A B B C C D D E F G G H H I I H H,1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0,1
184,play may delight night man began compose rose,ay ay ight ight an an ose ose,A A B B C C D D,1 1 1 1 1 1 1 1,1
185,spring ring,ing ing,A A,1 1,1
186,high cry sky,igh y y,A A A,1 1 1,1
187,wars stars heard prepared shield field street feet,ars ars eard ared ield ield eet eet,A A B C D D E E,0 0 1 0 1 1 1 1,1
188,gold behold aside pride squires attires lance advance feet bit,old old ide ide ires ires ance ance eet it,A A B B C C D D E E,1 1 1 1 0 0 1 1 1 0,1
189,ride side provide,ide ide ide,A A A,1 1 1,1
190,bands hands,ands ands,A A,0 0,1
191,placed blast tides sides crew few walk talk side guide hold gold cast placed bend commend spear rear mind divined,aced ast ides ides ew ew alk alk ide uide old old ast aced end end ear ear ind ined,A B C C D D E E F F G G B A H H I I J J,0 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1,1
192,arose dispose sate state sent bent look took see decree hand stand aloud crowd,ose ose ate ate ent ent ook ook ee ee and and oud owd,A A B B C C D D E E F F G H,1 1 1 1 1 1 1 1 1 1 1 1 1 0,1
193,mind kind clemency decree rebate hate strife life command hand dare war strength length,ind ind y ee ate ate ife ife and and are ar ength ength,A A B B C C D D E E F F G G,1 1 1 0 1 1 1 1 1 1 1 0 1 1,1
194,career spear plain regain ground bound made invade life strife young long,eer ear ain ain ound ound ade ade ife ife oung ong,A A B B C C D D E E F F,1 1 1 1 1 1 1 1 1 1 1 0,1
195,firmament rent good blood sound around way array behold rolld spread tread ride side,ent ent ood ood ound ound ay ay old olld ead ead ide ide,A A B B C C D D E F G G H H,1 1 1 1 1 1 1 1 1 0 1 1 1 1,1
196,wife strife three degree way day divide ride high emily graced placed loud crowd overbear theatre low blow car war train plain abroad god,ife ife ee ee ay ay ide ide igh y aced aced oud owd ear eatre ow ow ar ar ain ain oad od,A A B B C C D D B B F F G H I J K K L L M M N N,1 1 1 1 1 1 1 1 1 0 0 0 1 0 1 0 1 1 1 1 1 1 1 0,1
197,palamon sun flies eyes around found age equipage make take,on un ies eyes ound ound age age ake ake,A A B C D D E E F F,1 1 0 0 1 1 1 1 1 1,1
198,proclaims names care war closed opposed cried tried,ims ames are ar osed osed ied ied,A B C C D D E E,0 0 1 0 0 0 0 0,1
199,defy reply sky,y y y,A A A,1 1 1,1
